benchmark,time,ratio
500.perlbench_r,337,4.72
502.gcc_r,230,6.16
505.mcf_r,316,5.11
520.omnetpp_r,496,2.65
523.xalancbmk_r,248,4.26
525.x264_r,149,11.75
531.deepsjeng_r,314,3.65
541.leela_r,589,2.81
548.exchange2_r,179,14.64
557.xz_r,449,2.41
int_rate,3307,4.84
