benchmark,time,ratio
500.perlbench_r,350,4.55
502.gcc_r,228,6.21
505.mcf_r,345,4.68
520.omnetpp_r,421,3.12
523.xalancbmk_r,282,3.74
525.x264_r,135,12.97
531.deepsjeng_r,265,4.32
541.leela_r,578,2.87
548.exchange2_r,212,12.36
557.xz_r,441,2.45
int_rate,3257,4.87
