benchmark,time,ratio
500.perlbench_r,344,4.63
502.gcc_r,229,6.18
505.mcf_r,341,4.74
520.omnetpp_r,431,3.04
523.xalancbmk_r,280,3.77
525.x264_r,136,12.88
531.deepsjeng_r,265,4.32
541.leela_r,577,2.87
548.exchange2_r,211,12.42
557.xz_r,448,2.41
int_rate,3262,4.87
